uid,nightuid,namedLocation,domainID,siteID,plotID,collectDate,endDate,samplingProtocolVersion,remarks,dataQF
"aea9c383-60b3-44b1-bceb-cb8e82354636","535FAF2E8BDB45EA9C668B02B6FA9FCF","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","2013-06-19","2013-06-19",,,
"6f966ec2-5b93-4796-8cbc-25bcff189287","E4447F367F5F4D20B0892786D2BD4D7C","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","2013-06-20","2013-06-20",,,
"ea017ac2-31cd-4383-b36b-1b26a7f98092","C6353AEE895F4ABEAC8E2571F771353B","HARV_016.mammalGrid.mam","D01","HARV","HARV_016","2013-06-21","2013-06-21",,,
