Year,Network,Species,Sex,Weight
2003,CRO,water.vole,female,105
2004,CRO,water.vole,female,105
2004,CRO,water.vole,female,105
2005,CRO,water.vole,female,105
2008,CRO,water.vole,female,105
2010,CRO,water.vole,female,105
2011,CRO,water.vole,female,105
2011,CRO,water.vole,female,105
1999,CRO,water.vole,female,110
1999,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2001,CRO,water.vole,female,110
2002,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2003,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2004,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2005,CRO,water.vole,female,110
2007,CRO,water.vole,female,110
2007,CRO,water.vole,female,110
2011,CRO,water.vole,female,110
2011,CRO,water.vole,female,110
2012,CRO,water.vole,female,110
2002,CRO,water.vole,female,115
2003,CRO,water.vole,female,115
2003,CRO,water.vole,female,115
2004,CRO,water.vole,female,115
2004,CRO,water.vole,female,115
2005,CRO,water.vole,female,115
2005,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2007,CRO,water.vole,female,115
2010,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2011,CRO,water.vole,female,115
2012,CRO,water.vole,female,115
2012,CRO,water.vole,female,115
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2003,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2004,CRO,water.vole,female,120
2005,CRO,water.vole,female,120
2006,CRO,water.vole,female,120
2006,CRO,water.vole,female,120
2007,CRO,water.vole,female,120
2007,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2011,CRO,water.vole,female,120
2012,CRO,water.vole,female,120
1999,CRO,water.vole,female,125
1999,CRO,water.vole,female,125
2001,CRO,water.vole,female,125
2002,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2004,CRO,water.vole,female,125
2005,CRO,water.vole,female,125
2008,CRO,water.vole,female,125
2008,CRO,water.vole,female,125
2011,CRO,water.vole,female,125
2012,CRO,water.vole,female,125
2000,CRO,water.vole,female,128
2002,CRO,water.vole,female,128
1999,CRO,water.vole,female,130
1999,CRO,water.vole,female,130
2003,CRO,water.vole,female,130
2004,CRO,water.vole,female,130
2004,CRO,water.vole,female,130
2006,CRO,water.vole,female,130
2006,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2008,CRO,water.vole,female,130
2009,CRO,water.vole,female,130
2011,CRO,water.vole,female,130
2011,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2012,CRO,water.vole,female,130
2002,CRO,water.vole,female,134
2002,CRO,water.vole,female,135
2002,CRO,water.vole,female,135
2003,CRO,water.vole,female,135
2004,CRO,water.vole,female,135
2005,CRO,water.vole,female,135
2007,CRO,water.vole,female,135
2008,CRO,water.vole,female,135
2011,CRO,water.vole,female,135
2011,CRO,water.vole,female,135
2001,CRO,water.vole,female,140
2003,CRO,water.vole,female,140
2004,CRO,water.vole,female,140
2004,CRO,water.vole,female,140
2004,CRO,water.vole,female,140
2005,CRO,water.vole,female,140
2005,CRO,water.vole,female,140
2006,CRO,water.vole,female,140
2006,CRO,water.vole,female,140
2007,CRO,water.vole,female,140
2007,CRO,water.vole,female,140
2008,CRO,water.vole,female,140
2008,CRO,water.vole,female,140
2008,CRO,water.vole,female,140
2010,CRO,water.vole,female,140
2010,CRO,water.vole,female,140
2011,CRO,water.vole,female,140
2011,CRO,water.vole,female,140
2011,CRO,water.vole,female,140
2011,CRO,water.vole,female,140
2011,CRO,water.vole,female,140
2012,CRO,water.vole,female,140
2012,CRO,water.vole,female,140
2000,CRO,water.vole,female,145
2002,CRO,water.vole,female,145
2003,CRO,water.vole,female,145
2004,CRO,water.vole,female,145
2004,CRO,water.vole,female,145
2007,CRO,water.vole,female,145
2008,CRO,water.vole,female,145
2008,CRO,water.vole,female,145
2008,CRO,water.vole,female,145
2011,CRO,water.vole,female,145
2011,CRO,water.vole,female,145
2002,CRO,water.vole,female,150
2003,CRO,water.vole,female,150
2003,CRO,water.vole,female,150
2004,CRO,water.vole,female,150
2004,CRO,water.vole,female,150
2005,CRO,water.vole,female,150
2005,CRO,water.vole,female,150
2006,CRO,water.vole,female,150
2006,CRO,water.vole,female,150
2007,CRO,water.vole,female,150
2007,CRO,water.vole,female,150
2008,CRO,water.vole,female,150
2008,CRO,water.vole,female,150
2009,CRO,water.vole,female,150
2009,CRO,water.vole,female,150
2010,CRO,water.vole,female,150
2010,CRO,water.vole,female,150
2010,CRO,water.vole,female,150
2011,CRO,water.vole,female,150
2011,CRO,water.vole,female,150
2011,CRO,water.vole,female,150
2012,CRO,water.vole,female,150
2003,CRO,water.vole,female,155
2003,CRO,water.vole,female,155
2003,CRO,water.vole,female,155
2005,CRO,water.vole,female,155
2005,CRO,water.vole,female,155
2006,CRO,water.vole,female,155
2006,CRO,water.vole,female,155
2011,CRO,water.vole,female,155
1999,CRO,water.vole,female,160
2002,CRO,water.vole,female,160
2003,CRO,water.vole,female,160
2004,CRO,water.vole,female,160
2004,CRO,water.vole,female,160
2004,CRO,water.vole,female,160
2004,CRO,water.vole,female,160
2007,CRO,water.vole,female,160
2007,CRO,water.vole,female,160
2008,CRO,water.vole,female,160
2008,CRO,water.vole,female,160
2009,CRO,water.vole,female,160
2009,CRO,water.vole,female,160
2010,CRO,water.vole,female,160
2011,CRO,water.vole,female,160
2011,CRO,water.vole,female,160
2011,CRO,water.vole,female,160
2012,CRO,water.vole,female,160
2008,CRO,water.vole,female,165
2009,CRO,water.vole,female,165
2010,CRO,water.vole,female,165
2011,CRO,water.vole,female,165
2011,CRO,water.vole,female,165
2001,CRO,water.vole,female,170
2002,CRO,water.vole,female,170
2002,CRO,water.vole,female,170
2003,CRO,water.vole,female,170
2003,CRO,water.vole,female,170
2003,CRO,water.vole,female,170
2003,CRO,water.vole,female,170
2003,CRO,water.vole,female,170
2004,CRO,water.vole,female,170
2006,CRO,water.vole,female,170
2008,CRO,water.vole,female,170
2009,CRO,water.vole,female,170
2011,CRO,water.vole,female,170
2012,CRO,water.vole,female,170
2002,CRO,water.vole,female,172
2005,CRO,water.vole,female,175
2009,CRO,water.vole,female,175
2012,CRO,water.vole,female,175
2004,CRO,water.vole,female,180
2004,CRO,water.vole,female,180
2004,CRO,water.vole,female,180
2005,CRO,water.vole,female,180
2005,CRO,water.vole,female,180
2005,CRO,water.vole,female,180
2007,CRO,water.vole,female,180
2007,CRO,water.vole,female,180
2008,CRO,water.vole,female,180
2009,CRO,water.vole,female,180
2010,CRO,water.vole,female,180
