uid,namedLocation,domainID,siteID,plotID,plotType,pointID,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,eventID,startCloudCoverPercentage,endCloudCoverPercentage,startRH,endRH,observedHabitat,observedAirTemp,kmPerHourObservedWindSpeed,laboratoryName,samplingProtocolVersion,remarks,measuredBy
"f7cc0d43-13e6-43f4-9ec2-97ad5a1696c5","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","A1","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T10Z","HARV_023.A1.2015-05-30T05:30-04:00[US/Eastern]",30,0,86,86,"mixed deciduous/evergreen forest",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"12158432-b681-4a8f-8270-bc991ca6452c","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","B1","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T10Z","HARV_023.B1.2015-05-30T05:58-04:00[US/Eastern]",30,0,86,86,"evergreen forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"7c3e4c33-102c-4a3d-abf8-f12e4a89d302","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","C1","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T10Z","HARV_023.C1.2015-05-30T06:21-04:00[US/Eastern]",30,0,86,86,"evergreen forest",14,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"da6b6c89-34ec-4197-a135-281ca28bf8d9","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","C2","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T11Z","HARV_023.C2.2015-05-30T06:46-04:00[US/Eastern]",30,0,86,86,"evergreen forest",17,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"72c0b756-de55-46cd-9ed8-8eafe9aacd12","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","C3","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T11Z","HARV_023.C3.2015-05-30T07:09-04:00[US/Eastern]",30,0,86,86,"riparian",18,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"d6c78973-6ebd-494e-9933-0a4b5c3fe224","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","B3","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T12Z","HARV_023.B3.2015-05-30T07:31-04:00[US/Eastern]",30,0,86,86,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"10a4e478-1956-4e3d-9259-86160af93ce0","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","A3","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T12Z","HARV_023.A3.2015-05-30T07:55-04:00[US/Eastern]",30,0,86,86,"mixed deciduous/evergreen forest",19,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"21d0067f-5e19-43c7-a5a5-e6dd24fdc8a1","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","A2","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T12Z","HARV_023.A2.2015-05-30T08:20-04:00[US/Eastern]",30,0,86,86,"mixed deciduous/evergreen forest",20,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"5c4729cf-10c7-4f4b-a771-138cd8744c7d","HARV_023.birdGrid.brd","D01","HARV","HARV_023","distributed","B2","evergreenForest",42.414919,-72.228418,"WGS84",250.2,180.5,0.2,"2015-05-30T13Z","HARV_023.B2.2015-05-30T08:40-04:00[US/Eastern]",30,0,86,86,"mixed deciduous/evergreen forest",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"b4c5199d-1fa4-45a2-aa7f-c67be24e4017","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","B1","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-30T14Z","HARV_006.B1.2015-05-30T09:36-04:00[US/Eastern]",90,50,78,82,"mixed deciduous/evergreen forest",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","ran out of time, so stopped survey","JRUEB"
"00f2145b-674e-42cf-83ac-f1893e858a70","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","C1","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-30T14Z","HARV_006.C1.2015-05-30T09:52-04:00[US/Eastern]",90,50,78,82,"mixed deciduous/evergreen forest",21,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","ran out of time, so stopped survey","JRUEB"
"404ba376-e875-45ca-828f-4efac3cc95b9","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","C2","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-30T14Z","HARV_006.C2.2015-05-30T10:08-04:00[US/Eastern]",90,50,78,82,"mixed deciduous/evergreen forest",23,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","ran out of time, so stopped survey","JRUEB"
"d2e69f09-72a4-4419-ab72-2a2dd3e1c2fe","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","A1","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T09Z","HARV_006.A1.2015-05-31T05:07-04:00[US/Eastern]",100,100,82,78,"riparian",21,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"fd5954c7-ec55-4540-8c14-377e422c7d0f","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","A2","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T09Z","HARV_006.A2.2015-05-31T05:28-04:00[US/Eastern]",100,100,82,78,"deciduous forest",22,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"7dee089d-6d2a-4b7e-a557-7980b8c6a16b","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","B2","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T10Z","HARV_006.B2.2015-05-31T05:43-04:00[US/Eastern]",100,100,82,78,"deciduous forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"3c4c7bb4-f3ae-4704-9aef-de96508b7049","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","C3","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T10Z","HARV_006.C3.2015-05-31T06:03-04:00[US/Eastern]",100,100,82,78,"mixed deciduous/evergreen forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"3057af2a-ae2c-4ae8-9809-6269166b3801","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","B3","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T10Z","HARV_006.B3.2015-05-31T06:25-04:00[US/Eastern]",100,100,82,78,"deciduous forest",21,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"cfa6372d-3d0e-42d1-9e60-c04539aa902b","HARV_006.birdGrid.brd","D01","HARV","HARV_006","distributed","A3","deciduousForest",42.401149,-72.253238,"WGS84",250.1,196.5,0.2,"2015-05-31T11Z","HARV_006.A3.2015-05-31T06:40-04:00[US/Eastern]",100,100,82,78,"deciduous forest",22,3,"Bird Conservancy of the Rockies","NEON.DOC.014041vG","finished up from the day before","JRUEB"
"f69e1748-d3f8-424d-9686-e244484f93fe","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T11Z","HARV_013.A1.2015-05-31T06:59-04:00[US/Eastern]",100,100,88,85,"deciduous forest",20,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"3300df72-b30b-4d85-aece-5ec194437b82","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T11Z","HARV_013.B1.2015-05-31T07:20-04:00[US/Eastern]",100,100,88,85,"evergreen forest",20,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"f1b62aff-9ff6-491b-93e6-65c8beafe3d2","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C1","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T12Z","HARV_013.C1.2015-05-31T07:40-04:00[US/Eastern]",100,100,88,85,"evergreen forest",21,1,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"2d7bcf30-1c96-4abe-9889-d14490af257c","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T12Z","HARV_013.C2.2015-05-31T08:02-04:00[US/Eastern]",100,100,88,85,"evergreen forest",21,4,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"d6136e71-b837-4e7e-aaeb-4158d97a2e14","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","C3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T12Z","HARV_013.C3.2015-05-31T08:25-04:00[US/Eastern]",100,100,88,85,"mixed deciduous/evergreen forest",22,0,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"91208fde-570b-4a71-ad79-a0aed1f7e725","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T13Z","HARV_013.B3.2015-05-31T08:50-04:00[US/Eastern]",100,100,88,85,"mixed deciduous/evergreen forest",22,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"51774d1b-cd6b-4868-b4b0-9da203631374","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A3","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T13Z","HARV_013.A3.2015-05-31T09:06-04:00[US/Eastern]",100,100,88,85,"riparian",22,5,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"5daaae49-465c-4483-8354-c40c874fbda7","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","A2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T13Z","HARV_013.A2.2015-05-31T09:21-04:00[US/Eastern]",100,100,88,85,"mixed deciduous/evergreen forest",22,2,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
"5977bdd2-41d3-4742-830a-3c83b9a7f03b","HARV_013.birdGrid.brd","D01","HARV","HARV_013","distributed","B2","evergreenForest",42.392611,-72.253227,"WGS84",250.3,184.8,0.4,"2015-05-31T14Z","HARV_013.B2.2015-05-31T09:45-04:00[US/Eastern]",100,100,88,85,"mixed deciduous/evergreen forest",22,6,"Bird Conservancy of the Rockies","NEON.DOC.014041vG",,"JRUEB"
